City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,madison,34.7334,-86.5667,14.38,66,0,0.0,US,1681269318
186,te anau,-45.4167,167.7167,12.15,92,99,2.45,NZ,1681269554
187,port hedland,-20.3167,118.5667,34.03,52,40,6.69,AU,1681269554
188,calama,-22.4667,-68.9333,10.27,37,0,6.17,CL,1681269316
189,katsuura,35.1333,140.3,18.79,78,100,11.73,JP,1681269554
190,saskylakh,71.9167,114.0833,-16.99,93,80,4.45,RU,1681269554
191,san quintin,30.4833,-115.95,14.14,86,6,4.76,MX,1681269555
192,mount isa,-20.7333,139.5,33.87,18,94,3.6,AU,1681269555
193,vozhega,60.4725,40.2213,0.93,99,99,1.78,RU,1681269556
194,dingle,10.9995,122.6711,28.66,57,100,1.68,PH,1681269557
195,yago,21.8333,-105.0667,21.13,52,3,0.25,MX,1681269557
196,lompoc,34.6391,-120.4579,14.77,80,100,2.24,US,1681268766
197,taoudenni,22.6783,-3.9836,24.02,9,99,4.61,ML,1681269557
198,faxinal,-24.0003,-51.3194,14.96,83,2,1.38,BR,1681269558
199,deputatskiy,69.3,139.9,-17.13,87,100,1.58,RU,1681269558
200,plouzane,48.3833,-4.6167,7.1,90,75,6.69,FR,1681269558
201,baykit,61.67,96.37,-13.25,83,99,5.66,RU,1681269558
202,semenivka,52.1783,32.5818,7.85,67,99,5.35,UA,1681269559
203,arinos,-15.9169,-46.1056,23.4,68,84,0.91,BR,1681269560
204,acari,-15.4311,-74.6158,23.18,79,97,1.35,PE,1681269560
205,tavda,58.0425,65.2726,2.09,72,99,3.54,RU,1681269560
206,tiksi,71.6872,128.8694,-19.42,93,65,1.32,RU,1681269561
207,canico,32.6333,-16.85,18.89,70,20,7.2,PT,1681269561
208,pangnirtung,66.1451,-65.7125,-13.51,79,98,2.17,CA,1681269561
209,mogadishu,2.0371,45.3438,28.07,80,81,6.64,SO,1681269561
210,pampierstad,-27.7832,24.6877,11.81,23,20,4.18,ZA,1681269562
211,haines junction,60.7522,-137.5108,-2.37,71,99,2.23,CA,1681269562
212,sabang,5.8933,95.3214,28.23,72,84,0.44,ID,1681269562
213,nelson bay,-32.7167,152.15,21.03,52,89,1.79,AU,1681269562
214,skerries,53.5828,-6.1083,3.96,77,6,10.99,IE,1681269563
215,buraydah,26.326,43.975,23.07,54,72,6.17,SA,1681269563
216,bambous virieux,-20.3428,57.7575,24.56,83,99,5.18,MU,1681269563
217,ozinki,51.1786,49.6769,7.79,48,100,3.55,RU,1681269563
218,svetlogorsk,52.6333,29.7333,8.37,70,100,4.12,BY,1681269563
219,vila velha,-20.3297,-40.2925,21.64,97,99,0.45,BR,1681269563
220,grand gaube,-20.0064,57.6608,24.65,86,100,6.9,MU,1681269563
221,sakskobing,54.7997,11.626,3.94,93,2,3.34,DK,1681269564
222,sawankhalok,17.316,99.8319,36.19,27,8,2.65,TH,1681269564
223,valparaiso,-33.0393,-71.6273,17.78,68,100,3.94,CL,1681269564
224,brae,60.3964,-1.353,5.98,82,72,9.59,GB,1681269565
225,whitehorse,60.7161,-135.0538,2.43,25,100,6.17,CA,1681269565
226,arraial do cabo,-22.9661,-42.0278,24.19,76,31,6.38,BR,1681269565
227,sao filipe,14.8961,-24.4956,21.84,62,95,3.36,CV,1681269565
228,marawi,7.9986,124.2928,29.03,53,83,0.91,PH,1681269565
229,cabedelo,-6.9811,-34.8339,25.64,79,100,4.23,BR,1681269566
230,romny,50.751,33.4747,10.19,64,100,7.16,UA,1681269566
231,grahamstown,-33.3042,26.5328,6.52,84,77,1.12,ZA,1681269567
232,kenai,60.5544,-151.2583,2.05,92,100,2.06,US,1681269567
233,plover,44.4564,-89.544,17.77,50,0,4.02,US,1681269567
234,tessalit,20.1986,1.0114,23.88,11,97,2.31,ML,1681269567
235,inyonga,-6.7167,32.0667,16.86,95,97,1.36,TZ,1681269567
236,ayni,39.3941,68.5377,12.91,56,83,1.6,TJ,1681269568
237,alyangula,-13.8483,136.4192,30.32,66,99,3.91,AU,1681269568
238,faanui,-16.4833,-151.75,27.84,73,64,3.46,PF,1681269568
239,castro,-24.7911,-50.0119,13.68,84,0,1.99,BR,1681269157
240,norman wells,65.282,-126.8329,-2.98,54,75,2.57,CA,1681269568
241,maarianhamina,60.0973,19.9348,5.92,87,0,1.03,AX,1681269569
242,seoul,37.5683,126.9778,14.66,11,0,6.22,KR,1681269304
243,korla,41.7597,86.1469,16.63,20,63,4.33,CN,1681269569
244,ndele,8.4109,20.6473,25.04,69,96,4.32,CF,1681269569
245,kahului,20.8947,-156.47,27.01,60,40,11.83,US,1681269570
246,khandyga,62.6667,135.6,-1.71,78,100,1.45,RU,1681269570
247,verkhnevilyuysk,63.4453,120.3167,-5.89,86,99,3.78,RU,1681269570
248,namibe,-15.1961,12.1522,22.71,65,0,3.2,AO,1681269570
249,riwaka,-41.0833,173.0,17.78,90,100,0.38,NZ,1681269571
250,sisimiut,66.9395,-53.6735,-6.41,86,10,2.47,GL,1681269571
251,lerwick,60.1545,-1.1494,7.0,85,83,11.02,GB,1681269571
252,mount gambier,-37.8333,140.7667,16.38,84,87,7.1,AU,1681269392
253,sovetskiy,61.3614,63.5842,0.13,95,100,2.56,RU,1681269572
254,saldanha,-33.0117,17.9442,13.39,73,100,2.2,ZA,1681269572
255,paamiut,61.994,-49.6678,-1.18,91,100,0.11,GL,1681269572
256,siverek,37.755,39.3167,9.95,97,100,2.3,TR,1681269572
257,margate,51.3813,1.3862,8.28,87,99,1.34,GB,1681269353
258,grindavik,63.8424,-22.4338,3.26,93,40,2.06,IS,1681269573
259,dikson,73.5069,80.5464,-22.31,94,100,8.91,RU,1681269573
260,coquimbo,-29.9533,-71.3436,17.37,84,58,1.58,CL,1681269573
261,ribeira grande,38.5167,-28.7,14.87,89,100,1.79,PT,1681269573
262,dibulla,11.2725,-73.3091,25.52,89,100,0.78,CO,1681269371
263,flinders,-34.5833,150.8552,21.7,61,100,1.79,AU,1681269574
264,lumphat,13.4878,106.9816,35.16,44,18,1.71,KH,1681269574
265,koani,-6.1333,39.2833,24.52,89,75,1.4,TZ,1681269574
266,katobu,-4.9408,122.5276,31.06,60,95,2.6,ID,1681269574
267,wagar,16.1525,36.2032,29.01,31,28,3.97,SD,1681269575
268,esmeraldas,-19.7625,-44.3139,18.53,93,90,1.89,BR,1681269374
269,pevek,69.7008,170.3133,-22.32,89,88,1.05,RU,1681269575
270,ponta do sol,32.6667,-17.1,18.89,69,0,1.9,PT,1681269576
271,saint-pierre,-21.3393,55.4781,24.76,73,0,2.57,RE,1681269349
272,bengkulu,-3.8004,102.2655,28.43,71,81,1.62,ID,1681269576
273,yazman,29.1212,71.7446,29.25,26,4,2.6,PK,1681269576
274,hofn,64.2539,-15.2082,4.25,65,100,3.76,IS,1681269577
275,caibarien,22.5206,-79.4669,23.62,79,84,3.91,CU,1681269577
276,enderby,52.5878,-1.2062,4.92,83,83,5.91,GB,1681269577
277,abashiri,44.0213,144.2697,13.84,57,100,9.06,JP,1681269577
278,bani walid,31.7566,13.9942,10.44,58,0,3.58,LY,1681269577
279,la tuque,47.4334,-72.7824,4.24,83,99,6.95,CA,1681269537
